@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
414,'2018/05/21 00:15:14:538',5,1293,887,1580,3
415,'2018/05/21 00:15:14:539',5,1294,885,1578,3
416,'2018/05/21 00:15:14:613',5,1296,886,1577,3
417,'2018/05/21 00:15:14:685',5,1294,873,1578,3
418,'2018/05/21 00:15:14:685',5,1300,870,1580,3
419,'2018/05/21 00:15:14:766',5,1300,881,1574,3
420,'2018/05/21 00:15:14:766',5,1298,864,1577,3
421,'2018/05/21 00:15:14:813',5,1301,817,1579,3
422,'2018/05/21 00:15:14:889',5,1300,804,1582,3
423,'2018/05/21 00:15:14:889',5,1293,804,1586,3
424,'2018/05/21 00:15:14:946',5,1289,804,1595,3
425,'2018/05/21 00:15:15:017',5,1290,810,1592,3
426,'2018/05/21 00:15:15:017',5,1287,824,1589,3
427,'2018/05/21 00:15:15:085',5,1287,838,1587,3
428,'2018/05/21 00:15:15:149',5,1286,877,1581,3
429,'2018/05/21 00:15:15:149',5,1282,914,1584,3
430,'2018/05/21 00:15:15:232',5,1280,900,1583,3
431,'2018/05/21 00:15:15:232',5,1282,870,1586,3
432,'2018/05/21 00:15:15:309',5,1278,878,1588,3
433,'2018/05/21 00:15:15:314',5,1281,900,1587,3
434,'2018/05/21 00:15:15:380',5,1282,949,1581,3
435,'2018/05/21 00:15:15:455',5,1285,997,1586,3
436,'2018/05/21 00:15:15:455',5,1302,1025,1588,3
437,'2018/05/21 00:15:15:536',5,1312,1041,1593,3
438,'2018/05/21 00:15:15:536',5,1328,1042,1597,3
439,'2018/05/21 00:15:15:633',5,1330,1031,1594,3
440,'2018/05/21 00:15:15:633',5,1331,1022,1590,3
441,'2018/05/21 00:15:15:683',5,1326,1013,1585,3
